Variable_Code,Type,Question_Text,Response_Options_Full
Q188,Ordinal,Justifiable: Euthanasia,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q189,Ordinal,Justifiable: For a man to beat his wife,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q18P,Binary,Neighbors: Drug addicts (+),Code 0: Not mentioned | Code 1: Important
Q190,Ordinal,Justifiable: Parents beating children,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q191,Ordinal,Justifiable: Violence against other people,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q192,Ordinal,"Justifiable: Terrorism as a political, ideological or religious mean",Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q193,Ordinal,Justifiable: Having casual sex,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q194,Ordinal,Justifiable: Political violence,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q195,Ordinal,Justifiable: Death penalty,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q196P,Ordinal,Government has the right: Keep people under video surveillance in public areas (+),Code 1: Definitely should not have the right | Code 2: Probably should not have the right | Code 3: Probably should have the right | Code 4: Definitely should have the right
Q197P,Ordinal,Government has the right: Monitor all e-mails and any other information exchanged on the Internet (+),Code 1: Definitely should not have the right | Code 2: Probably should not have the right | Code 3: Probably should have the right | Code 4: Definitely should have the right
Q198P,Ordinal,Government has the right: Collect information about anyone living in [COUNTRY] without their knowledge (+),Code 1: Definitely should not have the right | Code 2: Probably should not have the right | Code 3: Probably should have the right | Code 4: Definitely should have the right
Q199P,Ordinal,Interest in politics (+),Code 1: Not at all interested | Code 2: Not very interested | Code 3: Somewhat interested | Code 4: Very interested
Q19P,Binary,Neighbors: People of a different race (+),Code 0: Not mentioned | Code 1: Important
Q1P,Ordinal,Important in life: Family (+),Code 1: Not at all important | Code 2: Not very important | Code 3: Rather important | Code 4: Very important
Q200P,Ordinal,How often discusses political matters with friends (+),Code 1: Never | Code 2: Occasionally | Code 3: Frequently
Q201P,Ordinal,Information source: Daily newspaper (B) (+),Code 1: Never | Code 2: Less than monthly | Code 3: Monthly | Code 4: Weekly | Code 5: Daily
Q202P,Ordinal,Information source: TV news (B) (+),Code 1: Never | Code 2: Less than monthly | Code 3: Monthly | Code 4: Weekly | Code 5: Daily
Q203P,Ordinal,Information source: Radio news (B) (+),Code 1: Never | Code 2: Less than monthly | Code 3: Monthly | Code 4: Weekly | Code 5: Daily
Q204P,Ordinal,Information source: Mobile phone (B) (+),Code 1: Never | Code 2: Less than monthly | Code 3: Monthly | Code 4: Weekly | Code 5: Daily
Q205P,Ordinal,Information source: Email (B) (+),Code 1: Never | Code 2: Less than monthly | Code 3: Monthly | Code 4: Weekly | Code 5: Daily
Q206P,Ordinal,Information source: Internet (B) (+),Code 1: Never | Code 2: Less than monthly | Code 3: Monthly | Code 4: Weekly | Code 5: Daily
Q207P,Ordinal,"Information source: Social media (Facebook, Twitter, etc.) (+)",Code 1: Never | Code 2: Less than monthly | Code 3: Monthly | Code 4: Weekly | Code 5: Daily
Q208P,Ordinal,Information source: Talk with friends or colleagues (B) (+),Code 1: Never | Code 2: Less than monthly | Code 3: Monthly | Code 4: Weekly | Code 5: Daily
Q209P,Ordinal,Political action: Signing a petition (+),Code 1: Would never do | Code 2: Might do | Code 3: Have done
Q20P,Binary,Neighbors: People who have AIDS (+),Code 0: Not mentioned | Code 1: Important
Q210P,Ordinal,Political action: joining in boycotts (+),Code 1: Would never do | Code 2: Might do | Code 3: Have done
Q211P,Ordinal,Political action: attending lawful/peaceful demonstrations (+),Code 1: Would never do | Code 2: Might do | Code 3: Have done
Q212P,Ordinal,Political action: joining unofficial strikes (+),Code 1: Would never do | Code 2: Might do | Code 3: Have done
Q213P,Ordinal,Social activism: Donating to a group or campaign (+),Code 1: Would never do | Code 2: Might do | Code 3: Have done
Q214P,Ordinal,Social activism: Contacting a government official (+),Code 1: Would never do | Code 2: Might do | Code 3: Have done
Q215P,Ordinal,Social activism: Encouraging others to take action about political issues (+),Code 1: Would never do | Code 2: Might do | Code 3: Have done
Q216P,Ordinal,Social activism: Encouraging others to vote (+),Code 1: Would never do | Code 2: Might do | Code 3: Have done
Q217P,Ordinal,Political actions using Internet: Searching information about politics and political events (+),Code 1: Would never do | Code 2: Might do | Code 3: Have done
Q218P,Ordinal,Political actions using Internet: Signing an electronic petition (+),Code 1: Would never do | Code 2: Might do | Code 3: Have done
Q219P,Ordinal,Political actions using Internet: Encouraging other people to take any form of political action (+),Code 1: Would never do | Code 2: Might do | Code 3: Have done
Q21P,Binary,Neighbors: Immigrants/foreign workers (+),Code 0: Not mentioned | Code 1: Important
Q220P,Ordinal,"Political actions using Internet: Organizing political activities, events, protests (+)",Code 1: Would never do | Code 2: Might do | Code 3: Have done
Q221P,Ordinal,Vote in elections: local level (+),Code 1: Not allowed to vote | Code 2: Never | Code 3: Usually | Code 4: Always
Q222P,Ordinal,Vote in elections: National level (+),Code 1: Not allowed to vote | Code 2: Never | Code 3: Usually | Code 4: Always
Q224P,Ordinal,How often in country's elections: Votes are counted fairly (+),Code 1: Not at all often | Code 2: Not often | Code 3: Fairly often | Code 4: Very often
Q225P,Ordinal,How often in country's elections: Opposition candidates are prevented from running (+),Code 1: Not at all often | Code 2: Not often | Code 3: Fairly often | Code 4: Very often
Q226P,Ordinal,How often in country's elections: TV news favors the governing party (+),Code 1: Not at all often | Code 2: Not often | Code 3: Fairly often | Code 4: Very often
Q227P,Ordinal,How often in country's elections: Voters are bribed (+),Code 1: Not at all often | Code 2: Not often | Code 3: Fairly often | Code 4: Very often
Q228P,Ordinal,How often in country's elections: Journalists provide fair coverage of elections (+),Code 1: Not at all often | Code 2: Not often | Code 3: Fairly often | Code 4: Very often
Q229P,Ordinal,How often in country's elections: Election officials are fair (+),Code 1: Not at all often | Code 2: Not often | Code 3: Fairly often | Code 4: Very often
Q22P,Binary,Neighbors: Homosexuals (+),Code 0: Not mentioned | Code 1: Important
Q230P,Ordinal,How often in country's elections: Rich people buy elections (+),Code 1: Not at all often | Code 2: Not often | Code 3: Fairly often | Code 4: Very often
Q231P,Ordinal,How often in country's elections: Voters are threatened with  violence at the polls (+),Code 1: Not at all often | Code 2: Not often | Code 3: Fairly often | Code 4: Very often
Q232P,Ordinal,How often in country's elections: Voters are offered a genuine choice in the elections (+),Code 1: Not at all often | Code 2: Not often | Code 3: Fairly often | Code 4: Very often
Q233P,Ordinal,How often in country's elections: Women have equal opportunities to run the office (+),Code 1: Not at all often | Code 2: Not often | Code 3: Fairly often | Code 4: Very often
Q234P,Ordinal,Some people think that having honest elections makes a lot of difference in their lives;  other people think that it doesn’t matter much (+),Code 1: Not at all important | Code 2: Not very important | Code 3: Rather important | Code 4: Very important
Q235P,Ordinal,Political system: Having a strong leader who does not have to bother with parliament and elections,Code 1: Very bad | Code 2: Fairly bad | Code 3: Fairly good | Code 4: Very good
Q236P,Ordinal,Political system: Having experts make decisions (+),Code 1: Very bad | Code 2: Fairly bad | Code 3: Fairly good | Code 4: Very good
Q237P,Ordinal,Political system: Having the army rule (+),Code 1: Very bad | Code 2: Fairly bad | Code 3: Fairly good | Code 4: Very good
Q238P,Ordinal,Political system: Having a democratic political system (+),Code 1: Very bad | Code 2: Fairly bad | Code 3: Fairly good | Code 4: Very good
Q239P,Ordinal,Political system: Having a system governed by religious law in which there are no political parties or elections (+),Code 1: Very bad | Code 2: Fairly bad | Code 3: Fairly good | Code 4: Very good
Q23P,Binary,Neighbors: People of a different religion (+),Code 0: Not mentioned | Code 1: Important
Q241,Ordinal,Democracy: Governments tax the rich and subsidize the poor,Code 0: It is against democracy (spontaneous) | Code 1: Not an essential characteristic of democracy | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: An essential characteristic of democracy
Q242,Ordinal,Democracy: Religious authorities interpret the laws,Code 0: It is against democracy (spontaneous) | Code 1: Not an essential characteristic of democracy | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: An essential characteristic of democracy
Q243,Ordinal,Democracy: People choose their leaders in free elections,Code 0: It is against democracy (spontaneous) | Code 1: Not an essential characteristic of democracy | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: An essential characteristic of democracy
Q244,Ordinal,Democracy: People receive state aid for unemployment,Code 0: It is against democracy (spontaneous) | Code 1: Not an essential characteristic of democracy | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: An essential characteristic of democracy
Q245,Ordinal,Democracy: The army takes over when government is incompetent,Code 0: It is against democracy (spontaneous) | Code 1: Not an essential characteristic of democracy | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: An essential characteristic of democracy
Q246,Ordinal,Democracy: Civil rights protect people’s liberty against oppression,Code 0: It is against democracy (spontaneous) | Code 1: Not an essential characteristic of democracy | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: An essential characteristic of democracy
Q247,Ordinal,Democracy: The state makes people's incomes equal,Code 0: It is against democracy (spontaneous) | Code 1: Not an essential characteristic of democracy | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: An essential characteristic of democracy
Q248,Ordinal,Democracy: People obey their rulers,Code 0: It is against democracy (spontaneous) | Code 1: Not an essential characteristic of democracy | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: An essential characteristic of democracy
Q249,Ordinal,Democracy: Women have the same rights as men,Code 0: It is against democracy (spontaneous) | Code 1: Not an essential characteristic of democracy | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: An essential characteristic of democracy
Q24P,Binary,Neighbors: Heavy drinkers (+),Code 0: Not mentioned | Code 1: Important
Q250,Ordinal,Importance of democracy,Code 1: Not at all important | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Absolutely important
Q251,Ordinal,How democratically is this country being governed today,Code 1: Not at all democratic | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Completely democratic
Q252,Ordinal,Satisfaction with the political system performance,Code 1: Not satisfied at all | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Completely satisfied
Q253P,Ordinal,Respect for individual human rights nowadays (+),Code 1: No respect at all | Code 2: Not much respect | Code 3: Fairly much  respect | Code 4: A great deal of respect for individual human rights
Q254P,Ordinal,How proud of nationality (+),Code 1: Not at all proud | Code 2: Not very proud | Code 3: Quite proud | Code 4: Very proud | Code 5: I am not [nationality]
Q255P,Ordinal,"How close you feel: Your [village, town or city] (+)",Code 1: Not close at all | Code 2: Not very close | Code 3: Close | Code 4: Very close
Q256P,Ordinal,I see myself as member of my local community (+),Code 1: Not close at all | Code 2: Not very close | Code 3: Close | Code 4: Very close
Q257P,Ordinal,I see myself as citizen of the [country] nation (+),Code 1: Not close at all | Code 2: Not very close | Code 3: Close | Code 4: Very close
Q258P,Ordinal,"How close you feel: Continent; e.g. Europe, Asia etc.] (+)",Code 1: Not close at all | Code 2: Not very close | Code 3: Close | Code 4: Very close
Q259P,Ordinal,How close you feel: World (+),Code 1: Not close at all | Code 2: Not very close | Code 3: Close | Code 4: Very close
Q25P,Binary,Neighbors: Unmarried couples living together (+),Code 0: Not mentioned | Code 1: Important
Q26P,Binary,Neighbors: People who speak a different language (+),Code 0: Not mentioned | Code 1: Important
Q27P,Ordinal,One of main goals in life has been to make my parents proud (+),Code 1: Strongly disagree | Code 2: Disagree | Code 3: Agree | Code 4: Agree strongly
Q28P,Ordinal,Pre-school child suffers with working mother (+),Code 1: Strongly disagree | Code 2: Disagree | Code 3: Agree | Code 4: Agree strongly
