Variable_Code,Question_Text,Selected,Reason_for_Selection
Q138P,How frequently do the following things occur in your neighborhood: Sexual harassment (+),No,"Not selected; frequency of sexual harassment in the neighborhood is a contextual/social problem indicator, not a measure of a personal attitude or value, so it is excluded."
Q13P,Important child qualities: thrift saving money and things (+),No,"Not selected; thrift (saving money/things) as a child quality, while a value, tends to overlap with other work ethic values (like hard work). Many cultures value thrift similarly, making it somewhat redundant and less differentiating than other included values."
Q142P,Worries: Losing my job or not finding a job (+),No,"Not selected; worry about losing a job is a personal anxiety tied to economic security, not an expression of one's values or beliefs. It's context-dependent rather than a core value, so it's excluded."
Q143P,Worries: Not being able to give one's children a good education (+),No,"Not selected; worry about not affording children's education is a personal concern related to economic condition, not reflective of fundamental values or attitudes across groups, hence excluded."
Q146P,Worries: A war involving my country (+),No,"Not selected; fear of a war involving one's country is a situational anxiety rather than a stable value or belief. It's influenced by context (e.g., current tensions) and not indicative of core values across groups."
Q147P,Worries: A terrorist attack (+),No,"Not selected; worry about a terrorist attack is a contextual fear, not a core attitude or value held by the respondent about society. It doesn't reflect values differences, so it's excluded."
Q148P,Worries: A civil war (+),No,"Not selected; worry about civil war is a context-specific fear (especially relevant only in certain regions). It is not a personal value or belief, so it does not meet the criteria for inclusion."
Q149,Freedom and Equality - Which more important,Yes,"Selected; it directly asks which is more important: freedom or equality. This captures a fundamental political value orientation with expected differences across ideologies and cultures, albeit on a binary choice."
Q14P,Important child qualities: determination perseverance (+),No,"Not selected; determination/perseverance as a child quality is similar to the 'hard work' value (Q9P) already included. Including both would be redundant, so this one is dropped."
Q150,Freedom and security - Which more important,Yes,"Selected; it asks whether freedom or security is more important, a key values trade-off (liberty vs safety) that varies among individuals and societies, clearly highlighting core political priorities."
Q151P,Willingness to fight for country (+),Yes,"Selected; willingness to fight for one's country reflects patriotic values vs pacifism. This attitude varies across cultures and demographics (e.g., younger vs older, different national sentiments) and is clearly measured (yes/no)."
Q152,Aims of country: first choice,No,"Not selected; this is a ranking of country goals (first choice) with nominal options. While it pertains to values (economic growth vs defense vs local voice vs beauty), the format is not a Likert/ordinal scale and overlaps with Q153. Its analysis would require combining with second choice, making it unsuitable by our criteria."
Q153,Aims of country: second choice,No,"Not selected; it's the second choice in the same country goals ranking as Q152. It's redundant with Q152 and similarly not in a straightforward ordinal format. Thus, we exclude it and the entire ranking approach in favor of direct scale measures."
Q154,Aims of respondent: first choice,No,"Not selected; this asks for the respondent's first priority among four national issues (order, voice in decisions, prices, free speech). It's a ranking selection, which is nominal and not directly ordinal. While it indicates values (materialist vs post-materialist concerns), the format and redundancy with Q155 make it unsuitable."
Q155,Aims of respondent: second choice,No,"Not selected; as the second choice complement to Q154, it's part of a ranking task. It's redundant with Q154's content and not an independent scaled attitude, so it's excluded."
Q156,Most important: first choice,No,"Not selected; first choice among broad societal goals (economy, humane society, ideas over money, fight crime) – another ranking item. The nominal nature and need to pair with Q157 for full info make it less usable for straightforward comparisons."
Q157,Most important: second choice,No,"Not selected; second choice for societal goals, tied to Q156. It's not included due to the same reasons – it's part of a ranking with no simple ordinal scale and overlaps conceptually with Q156."
Q158,"Science and technology are making our lives healthier, easier, and more comfortable",No,"Not selected; it asserts science/tech make life better (or not). This is largely redundant with Q163, which also measures overall view of science's impact. Q163 is retained as the representative item for this positive science attitude, so Q158 is dropped."
Q159,"Because of science and technology, there will be more opportunities for the next generation",No,"Not selected; the idea that science means more opportunities for the next generation is another optimistic view of science. It's similar in spirit to Q158/Q163, and including it would be redundant. We focus on the overarching evaluation (Q163)."
Q15P,Important child qualities: religious faith (+),Yes,Selected; valuing religious faith in children highlights traditional religious values vs secular upbringing priorities. This clearly varies across societies (secular vs devout) and is a core cultural value.
Q160,We depend too much on science and not enough on faith,Yes,"Selected; agreement that we rely too much on science and not enough on faith captures a fundamental worldview (scientific vs religious reliance). It strongly reflects attitudes that differ by religiosity and education, with a clear disagree/agree scale."
Q161,One of the bad effects of science is that it breaks down people’s ideas of right and wrong,No,"Not selected; the notion that science breaks down moral ideas overlaps with Q160 in expressing skepticism about science's effect on morality. Since Q160 covers the science vs faith conflict broadly, Q161 is redundant and thus excluded."
Q162,It is not important for me to know about science in my daily life,Yes,"Selected; saying it's not important to know about science in daily life gauges personal interest in/valuation of scientific knowledge. This attitude varies with education and culture (some value science literacy, others indifferent), so it fits our criteria."
Q163,"The world is better off, or worse off, because of science and technology",Yes,"Selected; it asks if the world is better or worse off because of science and technology, providing a direct overall attitude towards scientific progress. This is a core belief with wide variation and a 10-point scale, making it suitable."
Q164,Importance of God,Yes,"Selected; importance of God is a fundamental indicator of religiosity vs secularity. It varies immensely across individuals and cultures and uses a 10-point importance scale, aligning well with our criteria."
Q165P,Believe in: God (+),Yes,"Selected; belief in God (yes/no) is a direct personal belief measure. It's core to religious identity and varies across populations (e.g., secular vs devout societies), clearly indicating a fundamental belief."
Q166P,Believe in: life after death (+),Yes,Selected; belief in life after death is an essential spiritual belief that varies across and within cultures (religious vs non-religious individuals). It provides insight into the depth of spiritual values beyond just belief in God.
Q167P,Believe in: hell (+),No,"Not selected; belief in hell is highly correlated with general afterlife beliefs (like Q166) and is specific to certain religious doctrines. It's somewhat redundant with broader belief measures and less universally applicable, so it's excluded."
Q168P,Believe in: heaven (+),No,Not selected; belief in heaven is similarly redundant with the broader measure of afterlife belief (Q166). It adds a detail specific to particular religious traditions and thus is not included to avoid duplication.
Q169P,"Whenever science and religion conflict, religion is always right (+)",Yes,"Selected; the statement that whenever science and religion conflict, religion is always right gauges religious absolutism vs openness to science. It's a core attitude that varies (especially between fundamentalist and secular viewpoints) and is clearly defined."
Q16P,Important child qualities: unselfishness (+),Yes,"Selected; unselfishness as a desired child quality reflects the value placed on altruism vs individualism, which can vary culturally, making it a relevant core value measure."
Q170P,The only acceptable religion is my religion (+),Yes,"Selected; the belief that only one's own religion is acceptable measures religious intolerance vs pluralism. This is a fundamental attitude about diversity that varies widely among societies and individuals, making it important to compare."
Q171P,How often do you attend religious services (+),Yes,"Selected; frequency of attending religious services is a behavioral indicator of religiosity. It's included because it reflects the importance of religion in practice and varies across groups (some attend weekly, others never), illustrating religious commitment levels."
Q172P,How often to you pray (+),Yes,"Selected; frequency of prayer complements attendance as a measure of religiosity, capturing private devotion. This varies significantly among individuals and cultures and indicates depth of religious engagement."
Q173P,Religious person (+),Yes,"Selected; how the respondent labels themselves (religious, not, or atheist) is a direct self-assessment of religiosity. This is a core identity belief that varies widely, offering clear insight into religious vs secular identification."
Q176P,Degree of agreement: Nowadays one often has trouble deciding which moral rules are the right ones to follow (+),Yes,"Selected; it addresses moral certainty vs ambiguity in society, reflecting attitudes toward moral relativism. This attitude can vary with societal change and personal ideology (traditional moral clarity vs moral relativism), making it a telling value indicator."
Q177,Justifiable: Claiming government benefits to which you are not entitled,No,"Not selected; justifying claiming government benefits one isn't entitled to is a measure of ethical permissiveness that overlaps with other included items (like tax cheating in Q180). To avoid redundancy, we exclude this specific scenario in favor of a broader representative."
Q178,Justifiable: Avoiding a fare on public transport,No,"Not selected; justifying avoiding a fare on public transport is another specific minor cheating behavior. It's covered by the general pattern of civic honesty we capture with the included item on tax cheating (Q180), so this is redundant."
Q179,Justifiable: Stealing property,No,"Not selected; justifying stealing property is almost universally rejected (a clear moral norm), leaving little cross-cultural variation. Because nearly everyone finds theft unjustifiable, it doesn't help differentiate values across groups."
Q17P,Important child qualities: obedience (+),Yes,"Selected; obedience in children indicates valuing discipline and authority. It directly contrasts with valuing independence (Q8P). Societies differ on how much obedience is prioritized, so this is a key traditional value to compare."
Q180,Justifiable: Cheating on taxes,Yes,"Selected; justifiability of cheating on taxes taps into civic morality and honesty. Attitudes here vary (some societies or individuals are more permissive toward cheating the state, others very strict), making it a useful comparative value measure on a 10-point scale."
Q181,Justifiable: Someone accepting a bribe in the course of their duties,No,"Not selected; justifying someone accepting a bribe in their duties gauges tolerance of corruption, but this overlaps with the general attitude captured by tax cheating (Q180) and overall corruption perceptions. To avoid duplication in measuring civic honesty/corruption tolerance, this item is excluded."
Q182,Justifiable: Homosexuality,Yes,"Selected; justifiability of homosexuality is a crucial indicator of social tolerance vs traditional morality. Acceptance levels vary drastically across countries, cultures, and generations, making this a core values measure (on a 10-point scale from never to always justifiable)."
Q183,Justifiable: Prostitution,No,"Not selected; justifiability of prostitution is a moral attitude question, but it's less central than other issues and likely correlates with general sexual morality measures (like Q182 or Q186). It's excluded to streamline the set without losing representativeness of the value domain."
Q184,Justifiable: Abortion,Yes,"Selected; attitude toward abortion (if it's justifiable) is a fundamental values issue often rooted in religious and moral beliefs. There is substantial cross-cultural and demographic variation (from very permissive to completely opposed), making it vital to include."
Q185,Justifiable: Divorce,Yes,"Selected; justifiability of divorce reflects traditional vs modern views on marriage permanence. While divorce is widely accepted in many places today, cultural and religious differences remain (some societies still stigmatize divorce more than others), so it provides insight into family values."
Q186,Justifiable: Sex before marriage,Yes,"Selected; justifiability of sex before marriage is a core measure of sexual morality, reflecting traditional vs liberal attitudes and varying widely by age, religion, and culture."
Q187,Justifiable: Suicide,No,"Not selected; attitude toward suicide (whether it's justifiable) does involve moral/religious judgment, but it's somewhat less central to comparative cultural values than other issues. Moreover, many cultures uniformly see it negatively (or it's tied to mental health views), so it's excluded in favor of more socially-oriented value items."
Q188,Justifiable: Euthanasia,Yes,"Selected; justifiability of euthanasia (mercy killing) is a significant ethical issue reflecting values about life and compassion vs religious morality. There is notable variation (some societies legalize/accept it, others strongly oppose), making it a relevant attitude to compare."
Q189,Justifiable: For a man to beat his wife,Yes,"Selected; justifiability of a man beating his wife is a stark measure of attitudes toward domestic violence and gender norms. In some cultures or groups, such violence has been traditionally tolerated to some degree, while others unequivocally condemn it. This large variation in a fundamental human rights value makes it critical to include."
Q18P,Neighbors: Drug addicts (+),No,"Not selected; not wanting drug addicts as neighbors is an attitude but one that is almost uniformly negative globally. It reflects aversion to a deviant or dangerous behavior more than a cultural value difference, offering minimal variation for analysis."
Q190,Justifiable: Parents beating children,Yes,"Selected; justifiability of parents beating children (corporal punishment) reveals values regarding child discipline and violence. There is cultural divergence here: some consider physical punishment acceptable or normal, while others see it as entirely unjustifiable. This attitudinal difference is important for comparison."
Q191,Justifiable: Violence against other people,No,"Not selected; justifying violence against other people in general is nearly universally rejected (most people say it's never justifiable to randomly commit violence). Because of this broad consensus, it doesn't help distinguish differing values across groups."
Q192,"Justifiable: Terrorism as a political, ideological or religious mean",No,"Not selected; justifiability of terrorism for a cause is an extreme scenario that almost everyone condemns. Only fringe variations exist, so it doesn't serve as a useful comparative value indicator (and it's very context-specific and sensitive)."
Q193,Justifiable: Having casual sex,No,"Not selected; justifiability of having casual sex is closely related to the premarital sex attitude (Q186) already included. Since attitudes towards casual sex likely correlate with attitudes toward premarital sex, including both would be redundant, so this one is omitted."
Q194,Justifiable: Political violence,No,"Not selected; justifiability of political violence overlaps with other violence/terrorism items. It’s generally condemned except in extreme views, and including it would be redundant given similar items. We focus on broader governance attitudes rather than specific violent methods."
Q195,Justifiable: Death penalty,Yes,"Selected; attitude toward the death penalty (justifiable or not) is a key value in the justice domain (punitive vs rehabilitative justice). Support for or opposition to capital punishment varies significantly across countries and groups, so it's a telling value difference."
Q196P,Government has the right: Keep people under video surveillance in public areas (+),No,Not selected; the idea that government has the right to use video surveillance in public is a privacy vs security trade-off item. We decided to include one representative from this set (Q197P) and exclude the rest to avoid redundancy. Q196P is therefore left out as its theme is covered by the selected item.
Q197P,Government has the right: Monitor all e-mails and any other information exchanged on the Internet (+),Yes,"Selected; whether the government should have the right to monitor all internet communications touches on privacy rights vs security/authority. This is a modern core value question (civil liberties in the digital age) with likely variation (some populations accept it for security, others reject it on principle)."
Q198P,Government has the right: Collect information about anyone living in [COUNTRY] without their knowledge (+),No,"Not selected; government collecting information secretly on citizens is another privacy vs security scenario. It's quite extreme and overlaps with the surveillance values captured in Q197P. To avoid duplication, we exclude this item and rely on the included one for the general attitude."
Q199P,Interest in politics (+),Yes,"Selected; interest in politics (not at all to very interested) reflects how much value an individual places on political matters and civic engagement. This varies by age, education, and culture (some societies have high political interest, others apathy), making it relevant for comparing civic attitudes."
Q19P,Neighbors: People of a different race (+),Yes,"Selected; indicating unwillingness to have people of a different race as neighbors reveals racial prejudice or tolerance. This is a core social attitude that varies across societies (some are more racially tolerant, others have significant prejudice), thus important for comparative analysis."
Q1P,Important in life: Family (+),No,"Not selected; family importance is nearly universal – almost everyone rates family as very important. Because there's minimal variation (virtually all groups highly value family), it doesn't differentiate values across groups despite being a core value."
Q200P,How often discusses political matters with friends (+),No,"Not selected; how often one discusses politics with friends is a behavioral tendency and social context indicator rather than a value or belief. It correlates with interest in politics (Q199P) which is included; thus, this is both not a core attitude on its own and somewhat redundant."
Q201P,Information source: Daily newspaper (B) (+),No,"Not selected; frequency of reading a daily newspaper is a media consumption habit, not a reflection of values or attitudes. It's largely driven by access and personal routine rather than core beliefs, so it's outside our focus."
Q202P,Information source: TV news (B) (+),No,"Not selected; frequency of watching TV news is a media consumption behavior. This depends on availability and habits (and age) more than on values, and doesn’t indicate an attitude to compare across groups, so it’s excluded."
Q203P,Information source: Radio news (B) (+),No,"Not selected; frequency of listening to radio news is a media use behavior rather than a value. It varies by technology access and personal habit, not by core attitudes, hence not included."
Q204P,Information source: Mobile phone (B) (+),No,"Not selected; using a mobile phone for news is again a measure of media/tech behavior. It's not a belief or value stance, so it doesn't meet the criteria for comparing values across groups."
Q205P,Information source: Email (B) (+),No,"Not selected; frequency of using email for information is a behavioral/technological metric, not indicative of the respondent's values or cultural attitudes, so it’s excluded."
Q206P,Information source: Internet (B) (+),No,"Not selected; frequency of Internet use for news is a personal habit reflecting tech usage, not a core value or attitude. Differences here are more about infrastructure and age than values, thus it’s not included."
Q207P,"Information source: Social media (Facebook, Twitter, etc.) (+)",No,"Not selected; use of social media for news is a media behavior. It doesn't directly reflect values or beliefs (beyond maybe generational tech differences), so it's outside the scope of core values comparison."
Q208P,Information source: Talk with friends or colleagues (B) (+),No,"Not selected; talking with friends or colleagues for information is a behavior related to social networks and engagement. While interesting socially, it’s not a direct measure of a personal value or attitude for our purposes."
Q209P,Political action: Signing a petition (+),No,"Not selected; willingness to sign a petition is a form of political participation behavior. It's not an attitude about an issue, but rather an action one might take (influenced by context and efficacy). As a behavior, it doesn't fulfill the criteria of a core value or belief question."
Q20P,Neighbors: People who have AIDS (+),Yes,"Selected; reluctance to have people with AIDS as neighbors indicates stigma or compassion regarding illness. Attitudes here vary by knowledge and culture (some communities stigmatize HIV/AIDS, others are more accepting), thus it reflects a value of tolerance vs prejudice toward a vulnerable group."
Q210P,Political action: joining in boycotts (+),No,"Not selected; willingness to join in boycotts is a specific activism behavior. It indicates propensity to protest economically, but as a behavioral tendency rather than a belief about something, it’s not included among core attitude measures."
Q211P,Political action: attending lawful/peaceful demonstrations (+),No,"Not selected; attending lawful demonstrations is another form of political participation (behavioral). It's influenced by opportunities and personal activism style, not a core value stance, so it's not selected."
Q212P,Political action: joining unofficial strikes (+),No,"Not selected; joining unofficial strikes is again about action willingness, which is behavior-based. We are focusing on attitudes and values content, so this item is excluded."
Q213P,Social activism: Donating to a group or campaign (+),No,"Not selected; donating to a group or campaign is a civic action, not a survey item about a belief or value. It reflects behavior (often tied to resources and context), thus it’s not directly a value to compare."
Q214P,Social activism: Contacting a government official (+),No,"Not selected; contacting a government official is an engagement behavior. While it shows political efficacy or involvement, it's not a question about a value or attitude difference, so it's left out."
Q215P,Social activism: Encouraging others to take action about political issues (+),No,Not selected; encouraging others to take political action is a participatory behavior metric. It's interesting for activism studies but not a core attitude measure per se; thus not included in the values-focused list.
Q216P,Social activism: Encouraging others to vote (+),No,"Not selected; encouraging others to vote is a civic behavior (promoting voting). It's a positive action but again a behavior rather than a belief question, so it doesn't meet the selection criteria."
Q217P,Political actions using Internet: Searching information about politics and political events (+),No,"Not selected; searching for political information online is a behavior reflecting interest and internet use. It's not a value or attitude statement, so we exclude it in favor of direct attitudinal measures."
Q218P,Political actions using Internet: Signing an electronic petition (+),No,"Not selected; signing an electronic petition is analogous to Q209P (petition signing) but online. As with other action items, it's a behavior, not a core belief, so it’s not selected."
Q219P,Political actions using Internet: Encouraging other people to take any form of political action (+),No,"Not selected; encouraging people online to take action is a digital form of activism. It's still an action tendency, not an attitude about a societal issue, therefore outside the scope of core values."
Q21P,Neighbors: Immigrants/foreign workers (+),Yes,"Selected; unwillingness to have immigrants/foreign workers as neighbors reveals xenophobia or openness. This is a crucial attitude that varies between more nationalistic versus more cosmopolitan societies, so it's included as a measure of social tolerance."
Q220P,"Political actions using Internet: Organizing political activities, events, protests (+)",No,"Not selected; organizing political activities online is a behavior (leadership in activism via the internet). It’s not a viewpoint on an issue, thus not a core attitude measure for our purposes."
Q221P,Vote in elections: local level (+),No,"Not selected; voting in local elections (never/always, etc) is a behavior/outcome which depends on legal factors and personal habit. It's not a value stance but rather civic participation frequency, so it's excluded."
Q222P,Vote in elections: National level (+),No,"Not selected; similarly, voting in national elections is a participation measure, not a core attitude or value. It's influenced by duty sense and context, but it's a behavior rather than belief, so it's not included."
Q224P,How often in country's elections: Votes are counted fairly (+),No,"Selected; perception of whether votes are counted fairly in national elections indicates trust in electoral integrity, a key component of political culture. This varies by country (some see elections as fair, others suspect fraud) and reflects democratic values vs cynicism."
Q225P,How often in country's elections: Opposition candidates are prevented from running (+),No,"Not selected; specific aspect of election fairness (e.g., opposition candidates being prevented) is covered generally by including one measure of election fairness (Q224), making additional similar items redundant."
Q226P,How often in country's elections: TV news favors the governing party (+),No,"Not selected; the idea that TV news favors the governing party is another detailed indicator of election fairness/media bias. It's context-specific and overlaps with the broader theme of electoral fairness already captured, so it's omitted."
Q227P,How often in country's elections: Voters are bribed (+),No,"Not selected; perception that voters are bribed is a specific corrupt practice in elections. While important locally, it's another facet of election integrity covered by general trust in elections measures; thus, it's excluded to avoid too many granular overlaps."
Q228P,How often in country's elections: Journalists provide fair coverage of elections (+),No,"Not selected; whether journalists provide fair election coverage is a detailed aspect of electoral process quality. It's context-specific and largely correlates with overall election fairness perceptions (like Q224), so we exclude it."
Q229P,How often in country's elections: Election officials are fair (+),No,"Not selected; perception of fair election officials is another granular detail of election integrity. It's not included separately because a general measure of perceived election fairness is already selected, and this detail would be redundant."
Q22P,Neighbors: Homosexuals (+),Yes,"Selected; unwillingness to have homosexuals as neighbors reflects social tolerance (or prejudice) regarding LGBTQ individuals, a key attitude that widely varies across cultures."
Q230P,How often in country's elections: Rich people buy elections (+),No,"Not selected; the view that rich people buy elections highlights corruption/inequality in politics, which is a facet of electoral fairness. This overlaps with broader democracy and fairness perceptions we've included and thus is left out to avoid redundancy."
Q231P,How often in country's elections: Voters are threatened with violence at the polls (+),No,"Not selected; concern that voters are threatened with violence is a very specific election malfeasance scenario. It's important in certain contexts but not a core value difference (most agree it's bad), and it correlates with general perceptions of election freedom, so it's excluded."
Q232P,How often in country's elections: Voters are offered a genuine choice in the elections (+),No,Not selected; whether voters are offered a genuine choice in elections is essentially another way to gauge election freedom. We have included key democracy indicators and including every sub-item would be redundant; thus this is left out.
Q233P,How often in country's elections: Women have equal opportunities to run the office (+),No,"Not selected; whether women have equal opportunities to run for office is an important issue, but as part of the election series it overlaps with gender equality attitudes measured elsewhere (e.g., Q249 about equal rights in democracy, and Q29P about women leaders). It's excluded here to avoid duplication of the gender equality theme."
Q23P,Neighbors: People of a different religion (+),Yes,"Selected; unwillingness to have neighbors of a different religion reveals religious intolerance vs pluralism. This attitude toward religious out-groups varies (some societies are very tolerant, others have sectarian divisions), making it a key comparative value."
Q234P,Some people think that having honest elections makes a lot of difference in their lives; other people think that it doesn’t matter much (+),Yes,"Selected; it gauges how important honest elections are to the respondent (whether it makes a difference). This indicates how much they value living in a democratic system versus being cynical. Variation in this belief reflects democratic aspirations vs apathy, so it's a valuable attitude to compare."
Q235P,Political system: Having a strong leader who does not have to bother with parliament and elections,Yes,"Selected; opinion on having a strong leader who doesn't bother with elections tests acceptance of authoritarian rule vs commitment to democracy. This is a fundamental political value: some prefer a strongman for stability, others see it as very bad. The variation makes it crucial to include."
Q236P,Political system: Having experts make decisions (+),Yes,"Selected; attitude toward rule by experts (technocracy) reflects preferences in governance style (expert-led vs democratic), providing insight into values about decision-making that vary by society."
Q237P,Political system: Having the army rule (+),Yes,"Selected; acceptance of military rule captures authoritarian vs democratic orientation, an essential political value indicator with significant cross-national differences."
Q238P,Political system: Having a democratic political system (+),Yes,"Selected; opinion on having a democratic political system (likely positive in most cases) is included as a baseline for pro-democracy sentiment, which, while often high, can vary in degree of support across societies."
Q239P,Political system: Having a system governed by religious law in which there are no political parties or elections (+),Yes,"Selected; view on a religious law-based system without parties measures acceptance of theocracy vs secular democracy, an important value particularly in religious vs secular societies, clearly relevant and varying."
Q24P,Neighbors: Heavy drinkers (+),No,"Not selected; not wanting heavy drinkers as neighbors is quite common across cultures since heavy drinking often implies disruptive behavior. Because aversion here is near-universal (it's more a personal nuisance concern than a cultural value stance), it doesn't serve well to differentiate values and is excluded."
Q241,Democracy: Governments tax the rich and subsidize the poor,Yes,"Selected; whether taxing the rich to subsidize the poor is seen as part of democracy touches on beliefs about social equality and the role of redistribution. This is a value-laden concept that varies by ideology (e.g., egalitarian vs libertarian views) and thus is included."
Q242,Democracy: Religious authorities interpret the laws,Yes,"Selected; view on religious authorities interpreting the laws in a democracy touches on secular vs religious visions of governance. This reveals a core value conflict (secular democracy vs theocratic influence) which varies widely, especially between more secular and more religious societies."
